case_id,alert_id,customer_id,risk_category,case_risk_score,case_age_days,case_status,investigation_outcome
CASE0313,FCA00621,CUST10185,KYC/EDD,100.0,7,Open,SAR Filed
CASE0314,FCA00227,CUST10873,Transaction Monitoring,84.0,30,Closed,SAR Filed
CASE0315,FCA00394,CUST10953,Transaction Monitoring,91.0,9,In Review,SAR Filed
CASE0316,FCA00528,CUST10800,KYC/EDD,55.0,18,Escalated,Closed - No SAR
CASE0317,FCA00923,CUST10973,Transaction Monitoring,67.0,13,In Review,Further Investigation
CASE0318,FCA00262,CUST10027,Transaction Monitoring,69.0,7,In Review,Escalated for SAR Review
CASE0319,FCA01101,CUST10350,KYC/EDD,33.0,32,Closed,Closed - No SAR
CASE0320,FCA00850,CUST10421,Sanctions,57.0,12,Closed,Closed - No SAR
CASE0321,FCA01397,CUST10542,Sanctions,89.0,13,Open,SAR Filed
CASE0322,FCA00875,CUST10359,KYC/EDD,47.0,29,Escalated,Closed - No SAR
CASE0323,FCA00765,CUST10216,KYC/EDD,79.0,33,In Review,Escalated for SAR Review
CASE0324,FCA00362,CUST10022,Fraud,73.0,9,Escalated,Escalated for SAR Review
CASE0325,FCA01783,CUST10973,Fraud,74.0,22,Escalated,Escalated for SAR Review
CASE0326,FCA00386,CUST10084,Transaction Monitoring,97.0,22,Escalated,SAR Filed
CASE0327,FCA01562,CUST11166,Transaction Monitoring,48.0,30,Closed,Closed - No SAR
CASE0328,FCA01546,CUST11097,Fraud,37.0,22,In Review,Further Investigation
CASE0329,FCA00422,CUST10311,Transaction Monitoring,61.0,9,Open,Further Investigation
CASE0330,FCA01528,CUST10907,Sanctions,87.0,40,In Review,SAR Filed
CASE0331,FCA00433,CUST11104,Sanctions,89.0,21,In Review,SAR Filed
CASE0332,FCA00071,CUST10624,Sanctions,74.0,22,In Review,Escalated for SAR Review
CASE0333,FCA00094,CUST10835,Fraud,100.0,25,In Review,SAR Filed
CASE0334,FCA01406,CUST10030,Transaction Monitoring,77.0,3,Escalated,Escalated for SAR Review
CASE0335,FCA00272,CUST10361,KYC/EDD,61.0,32,Closed,Closed - No SAR
CASE0336,FCA01632,CUST10432,Sanctions,73.0,36,In Review,Escalated for SAR Review
CASE0337,FCA00708,CUST11072,Transaction Monitoring,64.0,22,Escalated,Closed - No SAR
CASE0338,FCA00487,CUST10270,Sanctions,70.0,39,Escalated,Escalated for SAR Review
CASE0339,FCA01608,CUST10004,Transaction Monitoring,60.0,16,Open,Further Investigation
CASE0340,FCA01526,CUST11177,Sanctions,99.0,8,In Review,SAR Filed
CASE0341,FCA01649,CUST11137,Transaction Monitoring,68.0,37,In Review,Escalated for SAR Review
CASE0342,FCA01209,CUST10908,Fraud,68.0,8,Open,Escalated for SAR Review
CASE0343,FCA01146,CUST10400,Fraud,46.0,1,In Review,Further Investigation
CASE0344,FCA00459,CUST10291,Transaction Monitoring,72.0,30,Escalated,Escalated for SAR Review
CASE0345,FCA01637,CUST10727,Transaction Monitoring,92.0,3,In Review,SAR Filed
CASE0346,FCA00881,CUST10538,Fraud,64.0,22,Closed,Closed - No SAR
CASE0347,FCA00722,CUST11100,Transaction Monitoring,85.0,36,Open,SAR Filed
CASE0348,FCA01033,CUST10602,Transaction Monitoring,90.0,18,Open,SAR Filed
CASE0349,FCA00014,CUST11046,Transaction Monitoring,94.0,34,In Review,SAR Filed
CASE0350,FCA01455,CUST10148,Transaction Monitoring,71.0,29,Escalated,Escalated for SAR Review
CASE0351,FCA01564,CUST10717,Fraud,78.0,20,Closed,Escalated for SAR Review
CASE0352,FCA00767,CUST10258,Transaction Monitoring,92.0,15,Closed,SAR Filed
CASE0353,FCA00096,CUST10924,Fraud,92.0,25,Escalated,SAR Filed
CASE0354,FCA01226,CUST10905,Fraud,74.0,31,In Review,Escalated for SAR Review
CASE0355,FCA00032,CUST11097,Sanctions,68.0,23,In Review,Escalated for SAR Review
CASE0356,FCA00327,CUST10546,Transaction Monitoring,82.0,32,Closed,SAR Filed
CASE0357,FCA00430,CUST10833,Sanctions,71.0,10,Closed,Escalated for SAR Review
CASE0358,FCA01055,CUST10342,Fraud,33.0,9,In Review,Further Investigation
CASE0359,FCA01287,CUST10059,Transaction Monitoring,51.0,40,Closed,Closed - No SAR
CASE0360,FCA00126,CUST10628,Fraud,78.0,37,Open,Escalated for SAR Review
CASE0361,FCA01638,CUST11069,Fraud,85.0,17,In Review,SAR Filed
CASE0362,FCA00483,CUST11189,Sanctions,93.0,9,Open,SAR Filed
CASE0363,FCA00791,CUST10386,Transaction Monitoring,66.0,38,In Review,Further Investigation
CASE0364,FCA00293,CUST10045,Transaction Monitoring,78.0,12,Open,Escalated for SAR Review
CASE0365,FCA00812,CUST10988,Transaction Monitoring,80.0,11,Closed,Escalated for SAR Review
CASE0366,FCA01196,CUST10633,Transaction Monitoring,67.0,27,In Review,Further Investigation
CASE0367,FCA00673,CUST10228,KYC/EDD,93.0,22,In Review,SAR Filed
CASE0368,FCA01191,CUST10850,Transaction Monitoring,54.0,7,Open,Further Investigation
CASE0369,FCA00472,CUST10407,Transaction Monitoring,68.0,17,Closed,Escalated for SAR Review
CASE0370,FCA01775,CUST10414,Fraud,56.0,17,Closed,Closed - No SAR
CASE0371,FCA00021,CUST10553,Transaction Monitoring,79.0,23,Open,Escalated for SAR Review
CASE0372,FCA01295,CUST11149,KYC/EDD,78.0,19,Closed,Escalated for SAR Review
CASE0373,FCA01364,CUST10093,Transaction Monitoring,80.0,20,Open,Escalated for SAR Review
CASE0374,FCA00521,CUST10076,Transaction Monitoring,46.0,20,In Review,Further Investigation
CASE0375,FCA01060,CUST10741,Transaction Monitoring,43.0,6,Open,Further Investigation
CASE0376,FCA01022,CUST10273,Sanctions,86.0,28,In Review,SAR Filed
CASE0377,FCA00578,CUST10969,Fraud,53.0,31,Open,Further Investigation
CASE0378,FCA01694,CUST10787,Fraud,72.0,7,Closed,Escalated for SAR Review
CASE0379,FCA00890,CUST11005,Fraud,66.0,29,Closed,Closed - No SAR
CASE0380,FCA00300,CUST10410,Transaction Monitoring,56.0,4,Closed,Closed - No SAR
CASE0381,FCA00147,CUST11002,Transaction Monitoring,75.0,31,Open,Escalated for SAR Review
CASE0382,FCA00551,CUST10708,Sanctions,69.0,12,Closed,Escalated for SAR Review
CASE0383,FCA00192,CUST10387,Transaction Monitoring,66.0,28,Open,Further Investigation
CASE0384,FCA00753,CUST11081,Sanctions,64.0,33,In Review,Further Investigation
CASE0385,FCA01438,CUST10083,Transaction Monitoring,74.0,8,In Review,Escalated for SAR Review
CASE0386,FCA01461,CUST10712,Sanctions,80.0,3,Closed,Escalated for SAR Review
CASE0387,FCA01474,CUST11184,Transaction Monitoring,71.0,19,Closed,Escalated for SAR Review
CASE0388,FCA00279,CUST10874,Sanctions,65.0,4,Closed,Closed - No SAR
CASE0389,FCA00750,CUST10643,Transaction Monitoring,39.0,22,Escalated,Closed - No SAR
CASE0390,FCA01120,CUST10321,Transaction Monitoring,84.0,12,Closed,SAR Filed
CASE0391,FCA00954,CUST10626,Fraud,72.0,8,In Review,Escalated for SAR Review
CASE0392,FCA01048,CUST10084,Fraud,63.0,29,Escalated,Closed - No SAR
CASE0393,FCA01393,CUST10656,Sanctions,59.0,37,Escalated,Closed - No SAR
CASE0394,FCA01664,CUST10056,Fraud,56.0,37,Closed,Closed - No SAR
CASE0395,FCA00214,CUST11064,Transaction Monitoring,94.0,10,Closed,SAR Filed
CASE0396,FCA00947,CUST10451,Sanctions,78.0,1,Closed,Escalated for SAR Review
CASE0397,FCA00584,CUST10183,Transaction Monitoring,85.0,30,Open,SAR Filed
CASE0398,FCA00793,CUST10095,Transaction Monitoring,89.0,20,Closed,SAR Filed
CASE0399,FCA00331,CUST11063,KYC/EDD,80.0,16,In Review,Escalated for SAR Review
CASE0400,FCA00341,CUST10500,Transaction Monitoring,76.0,12,Closed,Escalated for SAR Review
CASE0401,FCA01603,CUST10142,KYC/EDD,53.0,20,Closed,Closed - No SAR
CASE0402,FCA00127,CUST10012,Fraud,63.0,2,In Review,Further Investigation
CASE0403,FCA01515,CUST11104,Transaction Monitoring,86.0,30,Closed,SAR Filed
CASE0404,FCA00994,CUST10650,Transaction Monitoring,70.0,24,Escalated,Escalated for SAR Review
CASE0405,FCA01731,CUST11148,Sanctions,69.0,11,Closed,Escalated for SAR Review
CASE0406,FCA01293,CUST10384,Sanctions,92.0,1,In Review,SAR Filed
CASE0407,FCA01769,CUST11184,Transaction Monitoring,44.0,30,In Review,Further Investigation
CASE0408,FCA00138,CUST10166,Transaction Monitoring,86.0,39,Closed,SAR Filed
CASE0409,FCA01726,CUST10182,Sanctions,82.0,10,Escalated,SAR Filed
CASE0410,FCA01385,CUST10436,Transaction Monitoring,95.0,38,Open,SAR Filed
CASE0411,FCA01733,CUST10614,Fraud,74.0,7,Closed,Escalated for SAR Review
CASE0412,FCA01470,CUST10552,KYC/EDD,96.0,29,Open,SAR Filed
CASE0413,FCA01660,CUST10883,KYC/EDD,89.0,33,In Review,SAR Filed
CASE0414,FCA00068,CUST10919,Transaction Monitoring,72.0,7,In Review,Escalated for SAR Review
CASE0415,FCA01501,CUST10918,Transaction Monitoring,63.0,1,Open,Further Investigation
CASE0416,FCA01412,CUST10296,Transaction Monitoring,66.0,12,In Review,Further Investigation
CASE0417,FCA01124,CUST10889,Sanctions,67.0,3,Closed,Closed - No SAR
CASE0418,FCA00755,CUST10517,Fraud,37.0,6,Escalated,Closed - No SAR
CASE0419,FCA00408,CUST10445,Fraud,69.0,17,Closed,Escalated for SAR Review
CASE0420,FCA01541,CUST10030,Transaction Monitoring,100.0,32,Open,SAR Filed
