case_id,alert_id,customer_id,risk_category,case_risk_score,case_age_days,case_status
CASE0390,FCA01120,CUST10321,Transaction Monitoring,84.0,12,Closed
CASE0391,FCA00954,CUST10626,Fraud,72.0,8,In Review
CASE0392,FCA01048,CUST10084,Fraud,63.0,29,Escalated
CASE0393,FCA01393,CUST10656,Sanctions,59.0,37,Escalated
CASE0394,FCA01664,CUST10056,Fraud,56.0,37,Closed
CASE0395,FCA00214,CUST11064,Transaction Monitoring,94.0,10,Closed
CASE0396,FCA00947,CUST10451,Sanctions,78.0,1,Closed
CASE0397,FCA00584,CUST10183,Transaction Monitoring,85.0,30,Open
CASE0398,FCA00793,CUST10095,Transaction Monitoring,89.0,20,Closed
CASE0399,FCA00331,CUST11063,KYC/EDD,80.0,16,In Review
CASE0400,FCA00341,CUST10500,Transaction Monitoring,76.0,12,Closed
CASE0401,FCA01603,CUST10142,KYC/EDD,53.0,20,Closed
CASE0402,FCA00127,CUST10012,Fraud,63.0,2,In Review
CASE0403,FCA01515,CUST11104,Transaction Monitoring,86.0,30,Closed
CASE0404,FCA00994,CUST10650,Transaction Monitoring,70.0,24,Escalated
CASE0405,FCA01731,CUST11148,Sanctions,69.0,11,Closed
CASE0406,FCA01293,CUST10384,Sanctions,92.0,1,In Review
CASE0407,FCA01769,CUST11184,Transaction Monitoring,44.0,30,In Review
CASE0408,FCA00138,CUST10166,Transaction Monitoring,86.0,39,Closed
CASE0409,FCA01726,CUST10182,Sanctions,82.0,10,Escalated
CASE0410,FCA01385,CUST10436,Transaction Monitoring,95.0,38,Open
CASE0411,FCA01733,CUST10614,Fraud,74.0,7,Closed
CASE0412,FCA01470,CUST10552,KYC/EDD,96.0,29,Open
CASE0413,FCA01660,CUST10883,KYC/EDD,89.0,33,In Review
CASE0414,FCA00068,CUST10919,Transaction Monitoring,72.0,7,In Review
CASE0415,FCA01501,CUST10918,Transaction Monitoring,63.0,1,Open
CASE0416,FCA01412,CUST10296,Transaction Monitoring,66.0,12,In Review
CASE0417,FCA01124,CUST10889,Sanctions,67.0,3,Closed
CASE0418,FCA00755,CUST10517,Fraud,37.0,6,Escalated
CASE0419,FCA00408,CUST10445,Fraud,69.0,17,Closed
CASE0420,FCA01541,CUST10030,Transaction Monitoring,100.0,32,Open
